Date	NGDP.LVL.LAG0	RGDP.LVL.LAG0
2000Q1	10030.99955	12359.10042
2000Q2	10278.29965	12592.49971
2000Q3	10357.39955	12607.69997
2000Q4	10472.29952	12679.3001
2001Q1	10508.09958	12643.30035
2001Q2	10638.39949	12710.29965
2001Q3	10639.50029	12670.10048
2001Q4	10701.29971	12705.30048
2002Q1	10834.40026	12822.29965
2002Q2	10934.80038	12892.99968
2002Q3	11037.10003	12955.79955
2002Q4	11103.80032	12963.99974
2003Q1	11230.10048	13031.19974
2003Q2	11370.69978	13152.10035
2003Q3	11625.10029	13372.39962
2003Q4	11816.80026	13528.6999
